,genes,taxons,genes_with_Z-DNA,Max_z-score,Average_z-score
8548,41,8,4,1032.548,95.89905526315789
8555,46,8,1,980.8116,25.81083157894737
8556,32,6,3,4263.555,191.0696052631579
8557,50,8,1,572.5964,15.068326315789474
8558,35,7,2,860.1321,40.610026315789476
8559,36,7,1,1220.255,32.11197368421053
8562,24,5,0,0.0,0.0
8564,35,7,1,766.6232,20.174294736842104
8578,32,7,3,2015.61,70.48690263157896
8580,31,6,3,2761.45,167.26077105263155
8583,40,8,9,8922.646,1343.7487894736842
8604,38,8,0,0.0,0.0
8612,28,7,1,2197.646,57.832789473684215
8616,29,7,2,13713.99,360.89447368421054
8618,47,8,2,2183.574,80.71448421052632
8620,28,7,4,883.5764,43.878931578947366
8621,34,7,1,1066.784,28.07326315789474
8624,44,7,3,15418.56,477.90954736842104
8663,37,7,5,6910.52,290.11282631578945
8674,40,8,1,705.4245,18.563802631578948
8680,39,8,5,980.8116,93.59490789473683
8693,27,5,0,0.0,0.0
8696,55,8,2,904.32,47.049905263157896
8697,27,5,1,1264.189,33.26813157894737
8700,22,7,3,766.6232,56.46397894736842
8701,42,7,1,8485.756,223.30936842105262
8702,40,8,4,1390.269,86.89015789473684
8723,30,6,1,915.9191,24.103134210526314
8742,37,7,1,2183.574,57.46247368421053
8743,45,8,5,7973.084,334.6025315789474
8744,27,8,2,883.5764,46.50402105263158
8745,36,7,1,904.32,23.797894736842107
8746,29,5,0,0.0,0.0
8753,46,8,4,2752.447,138.33374210526316
8754,44,8,4,2183.574,127.21850526315791
8755,29,6,1,883.5764,23.25201052631579
8760,48,8,3,3428.529,166.01213157894736
8761,35,7,0,0.0,0.0
8765,24,6,1,766.6232,20.174294736842104
8770,39,7,2,904.32,45.540549999999996
8772,34,8,6,1551.702,152.79103684210526
8775,38,6,2,12723.6,360.64241052631576
8788,32,7,3,1228.72,71.85470789473685
8789,43,8,3,12723.6,427.8913157894737
8790,29,6,1,783.823,20.626921052631577
8791,35,6,1,8485.756,223.30936842105262
8794,37,8,1,650.9198,17.129468421052632
8796,43,8,9,3428.529,267.0049315789473
8798,28,6,5,9492.083,313.5102157894737
8801,34,6,0,0.0,0.0
8802,39,7,1,650.9198,17.129468421052632
8804,37,7,0,0.0,0.0
8806,42,7,0,0.0,0.0
8816,37,7,1,2173.083,57.18639473684211
8819,38,8,2,201979.0,5336.995671052631
8820,39,7,4,3428.529,227.85626315789474
8824,40,7,3,826.2209,60.548978947368425
8828,23,6,2,3428.529,114.12959210526316
8829,32,6,2,783.823,36.74231052631579
8830,38,8,0,0.0,0.0
8831,44,8,1,783.823,20.626921052631577
8832,36,8,4,1733.503,99.24494736842105
8841,23,5,1,783.823,20.626921052631577
8849,34,8,5,883.5764,108.38478421052632
8851,48,8,5,13713.99,510.6606157894737
8854,28,8,2,928.3764,39.61917368421053
8858,38,7,4,660.4787,63.49441315789473
8859,39,7,0,0.0,0.0
8864,39,8,3,2752.447,128.5458
8867,28,6,1,1100.572,28.962421052631576
8868,28,6,2,1515.735,57.01723157894736
8869,37,7,1,963.953,25.367184210526315
8870,41,8,1,612.3848,16.11538947368421
8871,42,8,5,2752.447,198.94908421052634
8873,34,6,5,915.9191,92.1147447368421
8875,36,7,2,883.5764,46.50402105263158
8879,33,7,7,4576.539,436.4321421052632
8880,36,7,3,908.3955,70.40916578947368
8881,38,8,2,1116.621,52.636773684210524
8882,33,7,4,8485.756,341.68868421052633
8883,26,6,0,0.0,0.0
8884,30,7,1,38833.58,1021.9363157894737
8885,30,7,3,2524.967,100.60592631578947
8886,34,7,0,0.0,0.0
8887,39,7,4,3428.529,151.19995789473685
8888,39,7,3,766.6232,57.47805789473684
8889,39,8,0,0.0,0.0
8891,45,8,1,980.8116,25.81083157894737
8892,46,8,9,4860.206,373.9905736842106
8894,43,8,2,2183.574,78.77330263157896
8895,36,7,4,3428.529,113.47645789473685
8898,43,8,2,6970.795,209.2528052631579
8902,28,7,0,0.0,0.0
8905,25,7,3,980.8116,48.734986842105265
8906,38,7,2,6565.992,345.5785263157895
8907,42,8,2,783.823,40.80121578947368
8909,29,5,2,908.3955,38.29607631578947
8910,39,8,4,883.5764,57.68648421052632
8916,44,8,1,572.5964,15.068326315789474
8917,44,8,2,1886.732,75.46167368421052
8918,44,8,1,883.5764,23.25201052631579
8934,27,6,0,0.0,0.0
8935,39,7,3,883.5764,45.56862368421053
8936,35,7,2,826.8355,21.75882894736842
8938,45,8,4,908.3955,92.82112894736842
8941,35,8,2,12723.6,407.2643947368421
8942,39,8,5,3993.322,157.19406578947368
8943,39,7,0,0.0,0.0
8944,44,8,3,908.3955,47.1571552631579
8945,44,8,3,3428.529,136.66219999999998
8947,33,7,2,6680.689,348.59686842105265
8948,44,8,1,980.8116,25.81083157894737
8954,38,7,4,1030.205,93.78897368421052
8955,33,8,4,13713.99,485.12483684210525
8957,44,8,2,980.8116,49.06284210526316
8959,42,8,6,27872.66,1096.5984263157895
8960,42,8,5,1430.8,99.34486842105264
8961,39,8,0,0.0,0.0
8963,34,6,1,980.8116,25.81083157894737
8964,26,6,4,1202.592,100.93725789473685
8966,36,8,1,766.6232,20.174294736842104
8967,33,6,2,2752.447,144.8656315789474
