,genes,taxons,genes_with_Z-DNA,Max_z-score,Average_z-score
13824,28,7,2,2752.447,72.4328157894737
13828,25,7,6,1030.205,88.13094210526314
13859,28,7,3,907.7149,70.39125526315789
13863,23,7,1,650.9198,17.129468421052632
13864,36,7,2,3428.529,110.85136842105263
13869,21,8,4,12723.6,391.0568684210526
13872,35,7,1,783.823,20.626921052631577
13879,27,6,1,731.2843,19.244323684210528
13882,26,7,2,1116.621,55.02100000000001
13883,33,6,1,883.5764,23.25201052631579
13884,34,7,11,3428.529,175.34376315789473
14048,52,8,4,17253.57,520.8867605263158
14049,31,6,2,883.5764,43.42630526315789
14071,33,7,4,883.5764,65.63776052631579
14077,35,7,3,3333.338,183.40424736842107
14130,34,7,3,883.5764,39.3674
14154,29,7,4,9852.15,572.8009210526316
14186,33,7,2,995.7308,49.45545263157895
14187,37,8,5,27872.66,804.5472342105263
14188,21,7,1,591.4854,15.565405263157896
14198,37,8,1,766.6232,20.174294736842104
14205,33,8,1,920.7419,24.23005
14211,44,8,5,908.3955,71.71543421052631
14212,41,8,0,0.0,0.0
14238,25,8,1,6090.891,160.2866052631579
14426,31,7,2,3661.11,113.47446842105263
14442,34,8,2,505.8732,13.312452631578948
14455,33,7,2,785.5658,36.78817368421053
14481,31,8,0,0.0,0.0
14630,33,6,6,3661.11,132.88377368421052
14661,26,6,2,980.8116,46.48361578947368
14665,27,6,6,3881.305,249.82652631578947
14829,26,8,0,0.0,0.0
14850,40,8,4,2997.09,140.33693157894737
14934,34,7,3,974.177,65.39435263157895
14935,35,7,1,936.7831,24.652186842105262
14936,33,7,1,1051.507,27.671236842105266
14955,26,6,1,766.6232,20.174294736842104
15044,25,7,2,3428.529,113.47645789473685
15101,21,8,0,0.0,0.0
15116,21,6,6,1354.114,113.62611052631578
15241,34,7,1,2752.447,72.4328157894737
15278,24,7,0,0.0,0.0
